date,theme,sentiment,comment_count
2025-05-24,other,neutral,1
2025-05-25,other,neutral,1
2025-05-26,other,neutral,1
2025-05-27,other,neutral,1
2025-05-28,other,neutral,1
2025-05-29,other,neutral,9
2025-05-29,other,positive,2
2025-05-29,product_ux,neutral,1
2025-05-29,product_ux,positive,2
2025-05-29,promos_bonuses,neutral,2
2025-05-29,promos_bonuses,positive,2
2025-05-29,win_loss_emotion,neutral,2
2025-05-29,win_loss_emotion,positive,1
2025-05-30,other,neutral,1
2025-05-30,other,positive,1
2025-05-30,product_ux,neutral,1
2025-05-30,trust_payouts,neutral,1
2025-05-30,win_loss_emotion,neutral,1
2025-05-31,other,neutral,1
2025-06-01,win_loss_emotion,neutral,1
2025-06-02,other,neutral,3
2025-06-02,product_ux,neutral,1
2025-06-02,support,neutral,1
2025-06-03,other,neutral,5
2025-06-03,win_loss_emotion,neutral,1
2025-06-04,other,neutral,3
2025-06-05,other,neutral,1
2025-06-07,other,neutral,1
2025-06-08,win_loss_emotion,neutral,1
2025-06-09,other,neutral,1
2025-06-10,other,neutral,1
2025-06-10,win_loss_emotion,positive,1
2025-06-12,other,neutral,2
2025-06-12,win_loss_emotion,neutral,1
2025-06-13,other,neutral,1
2025-06-13,promos_bonuses,neutral,1
2025-06-14,other,neutral,6
2025-06-14,other,positive,1
2025-06-14,win_loss_emotion,neutral,2
2025-06-15,other,neutral,1
2025-06-16,other,neutral,1
2025-06-23,other,neutral,2
2025-06-23,win_loss_emotion,positive,1
2025-06-24,other,neutral,2
2025-06-24,win_loss_emotion,positive,1
2025-06-26,other,neutral,1
2025-06-30,other,neutral,1
2025-07-04,other,neutral,1
2025-07-06,other,neutral,3
2025-07-08,other,neutral,1
2025-07-09,other,neutral,4
2025-07-10,other,neutral,5
2025-07-10,trust_payouts,neutral,1
2025-07-11,other,neutral,3
2025-07-12,other,negative,1
2025-07-12,other,neutral,1
2025-07-12,promos_bonuses,neutral,1
2025-07-13,other,neutral,3
2025-07-13,trust_payouts,neutral,1
2025-07-13,win_loss_emotion,neutral,1
2025-07-14,other,neutral,1
2025-07-14,promos_bonuses,neutral,1
2025-07-14,win_loss_emotion,neutral,1
2025-07-15,other,neutral,19
2025-07-15,other,positive,4
2025-07-16,other,neutral,5
2025-07-16,other,positive,2
2025-07-17,other,neutral,8
2025-07-17,other,positive,2
2025-07-21,win_loss_emotion,neutral,1
2025-08-02,other,neutral,2
2025-08-04,other,neutral,1
2025-08-05,win_loss_emotion,neutral,1
2025-08-06,other,positive,1
2025-08-06,win_loss_emotion,positive,1
2025-08-08,product_ux,neutral,1
2025-08-09,other,neutral,1
2025-08-12,other,neutral,2
2025-08-13,product_ux,neutral,1
2025-08-13,promos_bonuses,neutral,1
2025-08-14,other,neutral,2
2025-08-15,other,neutral,1
2025-08-16,win_loss_emotion,neutral,1
2025-08-18,other,positive,1
2025-08-19,win_loss_emotion,positive,1
2025-08-21,trust_payouts,negative,1
2025-08-22,other,neutral,1
2025-08-26,other,neutral,2
2025-08-26,win_loss_emotion,neutral,1
2025-08-27,win_loss_emotion,neutral,2
2025-08-28,other,neutral,1
2025-08-29,trust_payouts,neutral,1
2025-08-31,other,neutral,1
2025-09-01,other,neutral,1
2025-09-02,other,neutral,1
2025-09-02,other,positive,1
2025-09-02,win_loss_emotion,neutral,1
2025-09-04,other,neutral,2
2025-09-05,other,neutral,2
2025-09-07,other,neutral,1
2025-09-08,other,neutral,2
2025-09-08,trust_payouts,neutral,1
2025-09-10,other,neutral,1
2025-09-10,product_ux,neutral,1
2025-09-10,trust_payouts,neutral,1
2025-09-11,other,neutral,2
2025-09-12,promos_bonuses,neutral,1
2025-09-13,win_loss_emotion,neutral,2
2025-09-14,win_loss_emotion,neutral,1
2025-09-15,other,neutral,1
2025-09-15,other,positive,1
